Date,Num,Day,Visitor,League,Game,Home,League.1,Game.1,Day/Night,Location,Postponed,Makeup
20250327,0,Thursday,BAL,AL,1,TOR,AL,1,d,TOR02,,
20250328,0,Friday,BAL,AL,2,TOR,AL,2,n,TOR02,,
20250329,0,Saturday,BAL,AL,3,TOR,AL,3,d,TOR02,,
20250330,0,Sunday,BAL,AL,4,TOR,AL,4,d,TOR02,,
20250331,0,Monday,BOS,AL,5,BAL,AL,5,d,BAL12,,
20250402,0,Wednesday,BOS,AL,6,BAL,AL,6,n,BAL12,,
20250403,0,Thursday,BOS,AL,7,BAL,AL,7,d,BAL12,,
20250407,0,Monday,TOR,AL,11,BOS,AL,11,n,BOS07,,
20250408,0,Tuesday,TOR,AL,12,BOS,AL,12,n,BOS07,,
20250409,0,Wednesday,TOR,AL,13,BOS,AL,13,n,BOS07,,
20250410,0,Thursday,TOR,AL,14,BOS,AL,14,d,BOS07,,
20250411,0,Friday,TOR,AL,15,BAL,AL,14,n,BAL12,Rain,20250729.0
20250412,0,Saturday,TOR,AL,16,BAL,AL,15,d,BAL12,,
20250413,0,Sunday,TOR,AL,17,BAL,AL,16,d,BAL12,,
20250414,0,Monday,BOS,AL,18,TBA,AL,16,n,TAM02,,
20250415,0,Tuesday,BOS,AL,19,TBA,AL,17,n,TAM02,,
20250416,0,Wednesday,BOS,AL,20,TBA,AL,18,n,TAM02,,
20250417,0,Thursday,NYA,AL,19,TBA,AL,19,n,TAM02,,
20250418,0,Friday,NYA,AL,20,TBA,AL,20,n,TAM02,,
20250419,0,Saturday,NYA,AL,21,TBA,AL,21,d,TAM02,,
20250420,0,Sunday,NYA,AL,22,TBA,AL,22,d,TAM02,,
20250425,0,Friday,TOR,AL,27,NYA,AL,26,n,NYC21,,
20250426,0,Saturday,TOR,AL,28,NYA,AL,27,d,NYC21,Rain,20250427.0
20250427,0,Sunday,TOR,AL,29,NYA,AL,28,d,NYC21,,
20250428,0,Monday,NYA,AL,29,BAL,AL,29,n,BAL12,,
20250429,0,Tuesday,NYA,AL,30,BAL,AL,30,n,BAL12,,
20250429,0,Tuesday,BOS,AL,31,TOR,AL,30,n,TOR02,,
20250430,0,Wednesday,NYA,AL,31,BAL,AL,31,n,BAL12,,
20250430,0,Wednesday,BOS,AL,32,TOR,AL,31,n,TOR02,,
20250501,0,Thursday,BOS,AL,33,TOR,AL,32,n,TOR02,,
20250502,0,Friday,TBA,AL,32,NYA,AL,32,n,NYC21,,
20250503,0,Saturday,TBA,AL,33,NYA,AL,33,d,NYC21,,
20250504,0,Sunday,TBA,AL,34,NYA,AL,34,d,NYC21,,
20250513,0,Tuesday,TBA,AL,41,TOR,AL,42,n,TOR02,,
20250514,0,Wednesday,TBA,AL,42,TOR,AL,43,n,TOR02,,
20250515,0,Thursday,TBA,AL,43,TOR,AL,44,d,TOR02,,
20250522,0,Thursday,BAL,AL,50,BOS,AL,52,n,BOS07,Rain,20250523.0
20250523,0,Friday,TOR,AL,51,TBA,AL,50,n,TAM02,,
