Date,Team,Location
20250327,BAL,BAL12
20250328,BAL,BAL12
20250329,BAL,BAL12
20250330,BAL,BAL12
20250331,BAL,BAL12
20250402,BAL,BAL12
20250403,BAL,BAL12
20250407,BAL,BAL12
20250408,BAL,BAL12
20250409,BAL,BAL12
20250410,BAL,BAL12
20250411,BAL,BAL12
20250412,BAL,BAL12
20250413,BAL,BAL12
20250414,BAL,BAL12
20250415,BAL,BAL12
20250416,BAL,BAL12
20250417,BAL,BAL12
20250418,BAL,BAL12
20250419,BAL,BAL12
20250420,BAL,BAL12
20250425,BAL,BAL12
20250426,BAL,BAL12
20250427,BAL,BAL12
20250428,BAL,BAL12
20250429,BAL,BAL12
20250430,BAL,BAL12
20250501,BAL,BAL12
20250502,BAL,BAL12
20250503,BAL,BAL12
20250504,BAL,BAL12
20250513,BAL,BAL12
20250514,BAL,BAL12
20250515,BAL,BAL12
20250522,BAL,BAL12
20250523,BAL,BAL12
20250524,BAL,BAL12
20250525,BAL,BAL12
20250606,BAL,BAL12
20250607,BAL,BAL12
20250608,BAL,BAL12
20250609,BAL,BAL12
20250610,BAL,BAL12
20250611,BAL,BAL12
20250613,BAL,BAL12
20250614,BAL,BAL12
20250615,BAL,TOR02
20250616,BAL,TOR02
20250617,BAL,TOR02
20250618,BAL,TOR02
20250619,BAL,TOR02
20250620,BAL,TOR02
20250621,BAL,TOR02
20250622,BAL,TOR02
20250627,BAL,TOR02
20250628,BAL,TOR02
20250629,BAL,TOR02
20250630,BAL,TOR02
20250701,BAL,TOR02
20250702,BAL,NYC21
20250703,BAL,NYC21
20250710,BAL,NYC21
20250711,BAL,NYC21
20250712,BAL,NYC21
20250713,BAL,NYC21
20250718,BAL,NYC21
20250719,BAL,NYC21
20250720,BAL,NYC21
20250721,BAL,NYC21
20250722,BAL,NYC21
20250723,BAL,NYC21
20250728,BAL,NYC21
20250729,BAL,NYC21
20250730,BAL,NYC21
20250731,BAL,NYC21
20250818,BAL,NYC21
20250819,BAL,NYC21
20250820,BAL,BAL12
20250821,BAL,BAL12
20250822,BAL,BAL12
20250823,BAL,BAL12
20250824,BAL,BAL12
20250825,BAL,BAL12
20250826,BAL,BOS07
20250827,BAL,BOS07
20250828,BAL,BOS07
20250905,BAL,BOS07
20250906,BAL,BOS07
20250907,BAL,BOS07
20250912,BAL,BOS07
20250913,BAL,BOS07
20250914,BAL,BOS07
20250915,BAL,TAM02
20250916,BAL,TAM02
20250917,BAL,TAM02
20250918,BAL,TAM02
20250919,BAL,TAM02
20250920,BAL,TAM02
20250921,BAL,TAM02
20250923,BAL,TAM02
20250924,BAL,TAM02
20250925,BAL,TAM02
20250926,BAL,TAM02
20250927,BAL,TAM02
20250928,BAL,TAM02
20250327,BOS,BAL12
20250328,BOS,BAL12
20250329,BOS,BAL12
20250330,BOS,BAL12
20250331,BOS,BAL12
20250402,BOS,BAL12
20250403,BOS,BAL12
20250407,BOS,BAL12
20250408,BOS,BAL12
20250409,BOS,BAL12
20250410,BOS,BAL12
20250411,BOS,BAL12
20250412,BOS,BAL12
20250413,BOS,TOR02
20250414,BOS,TOR02
20250415,BOS,TOR02
20250416,BOS,TOR02
20250417,BOS,TOR02
20250418,BOS,TOR02
20250419,BOS,TOR02
20250420,BOS,TOR02
20250425,BOS,TOR02
20250426,BOS,TOR02
20250427,BOS,TOR02
20250428,BOS,TOR02
20250429,BOS,TOR02
20250430,BOS,TOR02
20250501,BOS,TOR02
20250502,BOS,TOR02
20250503,BOS,TOR02
20250504,BOS,TOR02
20250513,BOS,TOR02
20250514,BOS,TOR02
20250515,BOS,BOS07
